Name;Slug;Description;Image
Barbecue;barbecue;;https://cdn.digicommerce.be/media/large/7ba045c3-f5be-4182-b266-b95948b84d19
Bœuf;boeuf;;https://cdn.digicommerce.be/media/large/51dd8560-5934-40e1-8a99-c395ad7c92a6
Porc;porc;;https://cdn.digicommerce.be/media/large/4d859df5-8d32-4c11-bae5-b7f091fef415
Veau;veau;;https://cdn.digicommerce.be/media/large/6ceec652-c562-4ec0-86ab-3428ff98c20f
Agneau;agneau;;https://cdn.digicommerce.be/media/large/58e99a8d-09a2-4960-96b2-8aac1173c085
Volaille;volaille;;https://cdn.digicommerce.be/media/large/bee25059-8d5b-482c-864b-3a1b3e238934
Charcuterie;charcuterie;;https://cdn.digicommerce.be/media/large/6dafad6a-023a-457d-9868-936be0e758bf
Traiteur;traiteur;;https://cdn.digicommerce.be/media/large/d2e78260-439f-4da9-b313-18a4f86ae6f8
Préparation - Hachis;preparations;;https://cdn.digicommerce.be/media/large/378b18b3-8eef-4196-90ec-3f240a1477b6
Plateaux;plateaux;;https://cdn.digicommerce.be/media/large/56d23f24-06e5-48cc-8c62-e93677dc5b98
Colis;colis;;https://cdn.digicommerce.be/media/large/58d61d45-9525-41e9-af16-56219531c245
Divers;divers;;https://cdn.digicommerce.be/media/large/bd85959c-813a-42e4-a2e9-5f03f924b73a
Choucroute;choucroute;;https://cdn.digicommerce.be/media/large/a44e66b7-2aaf-4733-9d1b-5099d27cc7ed
Sans gluten lactose;sans-gluten-lactose;;https://cdn.digicommerce.be/media/large/275abefb-cac9-49be-b75e-142c3b9ca71a
