SKU;Name;Published;Is featured?;Visibility in catalog;Short description;Description;Regular price;Sale price;Categories;Images;Stock status;Manage stock?;Tax class;Weight (kg);Tags
braisade-de-canard-100gr;Braisade de canard +/-100gr;1;0;visible;1pc 100gr  32.90€/kg;1pc 100gr  32.90€/kg;3.29;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/braisade-de-canard-100gr.jpg;instock;0;;;
brochette-dagneau-150gr;Brochette d'agneau +/-150gr;1;0;visible;1pc 150gr - 24,98€/kg;1pc 150gr - 24,98€/kg;3.74;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/brochette-dagneau-150gr.jpg;instock;0;;;
brochette-de-boeuf-150gr;Brochette de bœuf  +/-150gr;1;0;visible;1pc 150gr - 22,95€/kg;1pc 150gr - 22,95€/kg;3.44;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/brochette-de-boeuf-150gr.jpg;instock;0;;;
brochette-de-volaille-150gr;Brochette de volaille +/-150gr;1;0;visible;1pc 150gr - 20,98€/kg;1pc 150gr - 20,98€/kg;3.14;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/brochette-de-volaille-150gr.jpg;instock;0;;;
brochette-de-porc-et-boeuf-150gr;Brochette de porc et bœuf +/-150gr;1;0;visible;1pc 150gr - 18,95€/kg;1pc 150gr - 18,95€/kg;2.84;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/brochette-de-porc-et-boeuf-150gr.jpg;instock;0;;;
couronne-de-porc-marinee-200gr;couronne de porc marinée +/-200gr;1;0;visible;1pc 250gr - 19,98€/kg;1pc 250gr - 19,98€/kg;4.99;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/couronne-de-porc-marinee-200gr.jpg;instock;0;;;
filet-de-poulet-marine-250grgr;filet de poulet mariné +/-250grgr;1;0;visible;1pc 250gr - 17,98€/kg;1pc 250gr - 17,98€/kg;4.49;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/filet-de-poulet-marine-250grgr.jpg;instock;0;;;
lard-marine-100gr;Lard mariné +/-100gr;1;0;visible;1pc 100gr - 16,99€/kg;1pc 100gr - 16,99€/kg;1.69;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/lard-marine-100gr.jpg;instock;0;;;
pilons-marines-100gr;pilons marinés +/-100gr;1;0;visible;1pc 100gr - 10,98€/kg;1pc 100gr - 10,98€/kg;1.09;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/pilons-marines-100gr.jpg;instock;0;;;
salade-de-pate-toscane-500gr;salade de pâte toscane +/-500gr;1;0;visible;14,98€/kg;14,98€/kg;7.49;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/salade-de-pate-toscane-500gr.jpg;instock;0;;;
salade-de-pommes-de-terre-500gr;salade de pommes de terre +/-500gr;1;0;visible;12,98€/kg;12,98€/kg;6.49;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/salade-de-pommes-de-terre-500gr.jpg;instock;0;;;
steak-marine-200gr;steak mariné +/-200gr;1;0;visible;1pc de 200gr - 25,98€/kg;1pc de 200gr - 25,98€/kg;5.19;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/steak-marine-200gr.jpg;instock;0;;;
salade-fitness-200gr;salade fitness +/- 200gr;1;0;visible;14.98€/kg;14.98€/kg;2.99;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/salade-fitness-200gr.jpg;instock;0;;;
braisade-de-filet-pur-porc-ail-des-ours;Braisade de filet pur porc ail des ours;1;0;visible;1pc 100gr   22.98€/kg;1pc 100gr   22.98€/kg;2.29;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/braisade-de-filet-pur-porc-ail-des-ours.jpg;instock;0;;;
aiguillette-de-poulet;Aiguillette de poulet;1;0;visible;1pc 100gr 22.98€/kg;1pc 100gr 22.98€/kg;2.29;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/aiguillette-de-poulet.jpg;instock;0;;;
braisade-de-filet-dagneau;Braisade de Filet d'agneau;1;0;visible;1pc 100gr  39.98€/kg;1pc 100gr  39.98€/kg;3.99;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/braisade-de-filet-dagneau.jpg;instock;0;;;
braisade-de-boeuf;Braisade de Boeuf;1;0;visible;1pc 100gr  26.98€/kg;1pc 100gr  26.98€/kg;2.69;;Barbecue;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/braisade-de-boeuf.jpg;instock;0;;;
aloyau-200gr;Aloyau 200gr;1;0;visible;1 steaks 200gr - 27,98€/kg;1 steaks 200gr - 27,98€/kg;5.59;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/aloyau-200gr.jpg;instock;0;;;
filet-pur-200gr;Filet pur +/-200gr;1;0;visible;1 steak 200gr - 42,90€/kg;1 steak 200gr - 42,90€/kg;8.58;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/filet-pur-200gr.jpg;instock;0;;;
americain-nature-500gr;Américain nature +/-500gr;1;0;visible;15,90€/kg;15,90€/kg;7.95;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/americain-nature-500gr.jpg;instock;0;;;
americain-prepare-250gr;Américain préparé +/-250gr;1;0;visible;16,90€/kg;16,90€/kg;4.22;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/americain-prepare-250gr.jpg;instock;0;;;
bouilli-jarret-500gr;Bouilli Jarret +/-500gr;1;0;visible;14,48€/kg;14,48€/kg;7.24;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/bouilli-jarret-500gr.jpg;instock;0;;;
carbonnade-de-boeuf-500gr;Carbonnade de Bœuf +/-500gr;1;0;visible;17,98€/kg;17,98€/kg;8.99;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/carbonnade-de-boeuf-500gr.jpg;instock;0;;;
carpaccio-de-boeuf-100gr;Carpaccio de Bœuf +/-100gr;1;0;visible;29,98€/kg;29,98€/kg;2.98;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/carpaccio-de-boeuf-100gr.jpg;instock;0;;;
cote-a-los-800gr;Côte à l'os +/-800gr;1;0;visible;25,98€/kg;25,98€/kg;20.78;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/cote-a-los-800gr.jpg;instock;0;;;
entrecote-6-cotes-400gr;Entrecôte 6 côtes +/-400gr;1;0;visible;21,48€/kg;21,48€/kg;8.59;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/entrecote-6-cotes-400gr.jpg;instock;0;;;
pave-de-boeuf-300gr;Pavé de bœuf +/-300gr;1;0;visible;25,98€/kg;25,98€/kg;7.79;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/pave-de-boeuf-300gr.jpg;instock;0;;;
plat-filet-petit-nerf-500gr;Plat filet ( petit nerf) +/-500gr;1;0;visible;20,98€/kg;20,98€/kg;10.49;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/plat-filet-petit-nerf-500gr.jpg;instock;0;;;
rosbeef-800gr;Rosbeef +/-800gr;1;0;visible;25,98€/kg;25,98€/kg;20.78;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/rosbeef-800gr.jpg;instock;0;;;
rumsteak-200gr;Rumsteak +/-200gr;1;0;visible;1 steaks 200gr - 24,98€/kg;1 steaks 200gr - 24,98€/kg;4.99;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/rumsteak-200gr.jpg;instock;0;;;
roti-casserole-1kg;Rôti casserole +/-1kg;1;0;visible;21,98€/kg;21,98€/kg;17.58;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/roti-casserole-1kg.jpg;instock;0;;;
steak-hache-de-boeuf-150gr;Steak haché de bœuf +/- 150gr;1;0;visible;1pc de 150gr - 16.98€/kg;1pc de 150gr - 16.98€/kg;2.54;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/steak-hache-de-boeuf-150gr.jpg;instock;0;;;
steak-pele-2-200gr;Steak pelé 2 +/-200gr;1;0;visible;1 steaks 200gr - 21,98€/kg;1 steaks 200gr - 21,98€/kg;4.39;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/steak-pele-2-200gr.jpg;instock;0;;;
steak-pele-1er-choix-200gr;Steak pelé 1er choix 200gr;1;0;visible;1 steaks 200gr - 23,98€/kg;1 steaks 200gr - 23,98€/kg;4.79;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/steak-pele-1er-choix-200gr.jpg;instock;0;;;
steak-marine-200gr;Steak mariné +/-200gr;1;0;visible;1 steaks 200gr - 25,98€/kg;1 steaks 200gr - 25,98€/kg;5.19;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/steak-marine-200gr.jpg;instock;0;;;
brochette-de-boeuf-150gr;Brochette de bœuf +/-150gr;1;0;visible;1 brochettes 150gr - 22,95€/kg;1 brochettes 150gr - 22,95€/kg;3.44;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/brochette-de-boeuf-150gr.jpg;instock;0;;;
escalope-de-boeuf-pane-150gr;Escalope de Bœuf pané +/-150gr;1;0;visible;1 pc de 150gr - 23,98€/kg;1 pc de 150gr - 23,98€/kg;3.59;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/escalope-de-boeuf-pane-150gr.jpg;instock;0;;;
contre-filet-400gr;Contre filet +/-400gr;1;0;visible;26,98€/kg;26,98€/kg;10.79;;Bœuf;https://boucheri.vds131.tmp-access.net/wp-content/uploads/2026/01/contre-filet-400gr.jpg;instock;0;;;
